"EDA 21 .Understand the distribution of reservation statuses and calculate summary statistics for reservation
status dates.",,,,,,,
04-04-2017,Check-Out,,,,,,
04-04-2017,Check-Out,,,,,,
04-04-2017,Check-Out,,,,,,
04-04-2017,Check-Out,,,,,,
04-04-2017,Check-Out,,,,,,
04-04-2017,Check-Out,,,,,,
04-04-2017,Check-Out,,,,,,
04-04-2017,Check-Out,,,,,,
04-04-2017,Check-Out,,,,,,
04-04-2017,Check-Out,,,,,,
04-04-2017,Check-Out,,,,,,
04-04-2017,Check-Out,,,,,,
04-04-2017,Check-Out,,,,,,
04-04-2017,Check-Out,,,,,,
04-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
05-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
08-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
09-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
10-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
11-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
04-05-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
12-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
13-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
08-06-2017,Check-Out,,,,,,
08-07-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
14-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
15-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
16-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
29-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
17-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
18-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
19-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
28-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
20-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
17-05-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
30-06-2017,Check-Out,,,,,,
07-07-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
21-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
22-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
23-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
24-04-2017,Check-Out,,,,,,
